Город,Дата,Погода
Москва,12.11.2002,-3
Москва,13.11.2002,-4
Москва,14.11.2002,0
Москва,15.11.2002,-1
Москва,16.11.2002,0
Екатеринбург,12.11.2002,-3
Екатеринбург,13.11.2002,-4
Екатеринбург,14.11.2002,0
Екатеринбург,15.11.2002,-1
Екатеринбург,16.11.2002,0
Новосибирск,12.11.2002,-10
Новосибирск,13.11.2002,-7
Новосибирск,14.11.2002,-6
Новосибирск,15.11.2002,-13
Новосибирск,16.11.2002,-20
Могилёв,12.11.2002,-3
Могилёв,13.11.2002,-4
Могилёв,14.11.2002,0
Могилёв,15.11.2002,-1
Могилёв,16.11.2002,0
Иркутск,12.11.2002,-10
Иркутск,13.11.2002,-7
Иркутск,14.11.2002,-11
Иркутск,15.11.2002,-13
Иркутск,16.11.2002,-30
Москва,12.11.2002,"-12,79"
Москва,13.11.2002,"-13,30923077"
Москва,14.11.2002,"-13,82846154"
Москва,15.11.2002,"-14,34769231"
Москва,16.11.2002,"-14,86692308"
Екатеринбург,12.11.2002,"-15,38615385"
Екатеринбург,13.11.2002,"-15,90538462"
Екатеринбург,14.11.2002,"-16,42461538"
Екатеринбург,15.11.2002,"-16,94384615"
Екатеринбург,16.11.2002,"-17,46307692"
Новосибирск,12.11.2002,"-17,98230769"
Новосибирск,13.11.2002,"-18,50153846"
Новосибирск,14.11.2002,"-19,02076923"
Новосибирск,15.11.2002,"-19,54"
Новосибирск,16.11.2002,"-20,05923077"
Могилёв,12.11.2002,"-20,57846154"
Могилёв,13.11.2002,"-21,09769231"
Могилёв,14.11.2002,"-21,61692308"
Могилёв,15.11.2002,"-22,13615385"
Москва,12.11.2002,"-22,65538462"
Москва,13.11.2002,"-23,17461538"
Москва,14.11.2002,"-23,69384615"
Москва,15.11.2002,"-24,21307692"
Москва,16.11.2002,"-24,73230769"
Екатеринбург,12.11.2002,"-25,25153846"
Екатеринбург,13.11.2002,"-25,77076923"
Екатеринбург,14.11.2002,"-26,29"
Екатеринбург,15.11.2002,"-26,80923077"
Екатеринбург,16.11.2002,"-27,32846154"
Новосибирск,12.11.2002,"-27,84769231"
Новосибирск,13.11.2002,"-28,36692308"
Новосибирск,14.11.2002,"-28,88615385"
Новосибирск,15.11.2002,"-29,40538462"
Новосибирск,16.11.2002,"-29,92461538"
Могилёв,12.11.2002,"-30,44384615"
Могилёв,13.11.2002,"-30,96307692"
Могилёв,14.11.2002,"-31,48230769"
Могилёв,15.11.2002,"-32,00153846"
Могилёв,16.11.2002,"-32,52076923"
Иркутск,12.11.2002,"-33,04"
Иркутск,13.11.2002,"-33,55923077"
Иркутск,14.11.2002,"-34,07846154"
Иркутск,15.11.2002,"-34,59769231"
Иркутск,16.11.2002,"-35,11692308"
Москва,12.11.2002,"-35,63615385"
Москва,13.11.2002,"-36,15538462"
Москва,14.11.2002,"-36,67461538"
Москва,15.11.2002,"-37,19384615"
Москва,16.11.2002,"-37,71307692"
Екатеринбург,12.11.2002,"-38,23230769"
Екатеринбург,13.11.2002,"-38,75153846"
Екатеринбург,14.11.2002,"-39,27076923"
Екатеринбург,15.11.2002,"-39,79"
Екатеринбург,16.11.2002,"-40,30923077"
Новосибирск,12.11.2002,"-40,82846154"
Новосибирск,13.11.2002,"-41,34769231"
Новосибирск,14.11.2002,"-41,86692308"
Новосибирск,15.11.2002,"-42,38615385"
Новосибирск,16.11.2002,"-42,90538462"
Могилёв,12.11.2002,"-43,42461538"
Могилёв,13.11.2002,"-43,94384615"
Могилёв,14.11.2002,"-44,46307692"
Могилёв,15.11.2002,"-44,98230769"
Москва,12.11.2002,"-45,50153846"
Москва,13.11.2002,"-46,02076923"
Москва,14.11.2002,"-46,54"
Москва,15.11.2002,"-47,05923077"
Москва,16.11.2002,"-47,57846154"
Екатеринбург,12.11.2002,"-48,09769231"
Екатеринбург,13.11.2002,"-48,61692308"
Екатеринбург,14.11.2002,"-49,13615385"
Екатеринбург,15.11.2002,"-49,65538462"
Екатеринбург,16.11.2002,"-50,17461538"
Новосибирск,12.11.2002,"-50,69384615"
Новосибирск,13.11.2002,"-51,21307692"
Новосибирск,14.11.2002,"-51,73230769"
Новосибирск,15.11.2002,"-52,25153846"
Новосибирск,16.11.2002,"-52,77076923"
Могилёв,12.11.2002,"-53,29"
Могилёв,13.11.2002,"-53,80923077"
Могилёв,14.11.2002,"-54,32846154"
Могилёв,15.11.2002,"-54,84769231"
Могилёв,16.11.2002,"-55,36692308"
Иркутск,12.11.2002,"-55,88615385"
Иркутск,13.11.2002,"-56,40538462"
Иркутск,14.11.2002,"-56,92461538"
Иркутск,15.11.2002,"-57,44384615"
Иркутск,16.11.2002,"-57,96307692"
Москва,12.11.2002,"-58,48230769"
Москва,13.11.2002,"-59,00153846"
Москва,14.11.2002,"-59,52076923"
Москва,15.11.2002,"-60,04"
Москва,16.11.2002,"-60,55923077"
Екатеринбург,12.11.2002,"-61,07846154"
Екатеринбург,13.11.2002,"-61,59769231"
Екатеринбург,14.11.2002,"-62,11692308"
Екатеринбург,15.11.2002,"-62,63615385"
Екатеринбург,16.11.2002,"-63,15538462"
Новосибирск,12.11.2002,"-63,67461538"
Новосибирск,13.11.2002,"-64,19384615"
Новосибирск,14.11.2002,"-64,71307692"
Новосибирск,15.11.2002,"-65,23230769"
Новосибирск,16.11.2002,"-65,75153846"
Могилёв,12.11.2002,"-66,27076923"
Могилёв,13.11.2002,"-66,79"
Могилёв,14.11.2002,"-67,30923077"
Могилёв,15.11.2002,"-67,82846154"
Москва,12.11.2002,"-68,34769231"
Москва,13.11.2002,"-68,86692308"
Москва,14.11.2002,"-69,38615385"
Москва,15.11.2002,"-69,90538462"
Москва,16.11.2002,"-70,42461538"
Екатеринбург,12.11.2002,"-70,94384615"
Екатеринбург,13.11.2002,"-71,46307692"
Екатеринбург,14.11.2002,"-71,98230769"
Екатеринбург,15.11.2002,"-72,50153846"
Екатеринбург,16.11.2002,"-73,02076923"
Новосибирск,12.11.2002,"-73,54"
Новосибирск,13.11.2002,"-74,05923077"
Новосибирск,14.11.2002,"-74,57846154"
Новосибирск,15.11.2002,"-75,09769231"
Новосибирск,16.11.2002,"-75,61692308"
Могилёв,12.11.2002,"-76,13615385"
Могилёв,13.11.2002,"-76,65538462"
Могилёв,14.11.2002,"-77,17461538"
Могилёв,15.11.2002,"-77,69384615"
Могилёв,16.11.2002,"-78,21307692"
Иркутск,12.11.2002,"-78,73230769"
Иркутск,13.11.2002,"-79,25153846"
Иркутск,14.11.2002,"-79,77076923"
Иркутск,15.11.2002,"-80,29"
Иркутск,16.11.2002,"-80,80923077"
Москва,12.11.2002,"-81,32846154"
Москва,13.11.2002,"-81,84769231"
Москва,14.11.2002,"-82,36692308"
Москва,15.11.2002,"-82,88615385"
Москва,16.11.2002,"-83,40538462"
Екатеринбург,12.11.2002,"-83,92461538"
Екатеринбург,13.11.2002,"-84,44384615"
Екатеринбург,14.11.2002,"-84,96307692"
Екатеринбург,15.11.2002,"-85,48230769"
Екатеринбург,16.11.2002,"-86,00153846"
Новосибирск,12.11.2002,"-86,52076923"
Новосибирск,13.11.2002,"-87,04"
Новосибирск,14.11.2002,"-87,55923077"
Новосибирск,15.11.2002,"-88,07846154"
Новосибирск,16.11.2002,"-88,59769231"
Могилёв,12.11.2002,"-89,11692308"
Могилёв,13.11.2002,"-89,63615385"
Могилёв,14.11.2002,"-90,15538462"
Могилёв,15.11.2002,"-90,67461538"
Москва,12.11.2002,"-91,19384615"
Москва,13.11.2002,"-91,71307692"
Москва,14.11.2002,"-92,23230769"
Москва,15.11.2002,"-92,75153846"
Москва,16.11.2002,"-93,27076923"
Екатеринбург,12.11.2002,"-93,79"
Екатеринбург,13.11.2002,"-94,30923077"
Екатеринбург,14.11.2002,"-94,82846154"
Екатеринбург,15.11.2002,"-95,34769231"
Екатеринбург,16.11.2002,"-95,86692308"
Новосибирск,12.11.2002,"-96,38615385"
Новосибирск,13.11.2002,"-96,90538462"
Новосибирск,14.11.2002,"-97,42461538"
Новосибирск,15.11.2002,"-97,94384615"
Новосибирск,16.11.2002,"-98,46307692"
Могилёв,12.11.2002,"-98,98230769"
Могилёв,13.11.2002,"-99,50153846"
Могилёв,14.11.2002,"-100,0207692"
Могилёв,15.11.2002,"-100,54"
Могилёв,16.11.2002,"-101,0592308"
Иркутск,12.11.2002,"-101,5784615"
Иркутск,13.11.2002,"-102,0976923"
Иркутск,14.11.2002,"-102,6169231"
Иркутск,15.11.2002,"-103,1361538"
Иркутск,16.11.2002,"-103,6553846"
Москва,12.11.2002,"-104,1746154"
Москва,13.11.2002,"-104,6938462"
Москва,14.11.2002,"-105,2130769"
Москва,15.11.2002,"-105,7323077"
Москва,16.11.2002,"-106,2515385"
Екатеринбург,12.11.2002,"-106,7707692"
Екатеринбург,13.11.2002,"-107,29"
Екатеринбург,14.11.2002,"-107,8092308"
Екатеринбург,15.11.2002,"-108,3284615"
Екатеринбург,16.11.2002,"-108,8476923"
Новосибирск,12.11.2002,"-109,3669231"
Новосибирск,13.11.2002,"-109,8861538"
Новосибирск,14.11.2002,"-110,4053846"
Новосибирск,15.11.2002,"-110,9246154"
Новосибирск,16.11.2002,"-111,4438462"
Могилёв,12.11.2002,"-111,9630769"
Могилёв,13.11.2002,"-112,4823077"
Могилёв,14.11.2002,"-113,0015385"
Могилёв,15.11.2002,"-113,5207692"
Москва,12.11.2002,"-114,04"
Москва,13.11.2002,"-114,5592308"
Москва,14.11.2002,"-115,0784615"
Москва,15.11.2002,"-115,5976923"
Москва,16.11.2002,"-116,1169231"
Екатеринбург,12.11.2002,"-116,6361538"
Екатеринбург,13.11.2002,"-117,1553846"
Екатеринбург,14.11.2002,"-117,6746154"
Екатеринбург,15.11.2002,"-118,1938462"
Екатеринбург,16.11.2002,"-118,7130769"
Новосибирск,12.11.2002,"-119,2323077"
Новосибирск,13.11.2002,"-119,7515385"
Новосибирск,14.11.2002,"-120,2707692"
Новосибирск,15.11.2002,"-120,79"
Новосибирск,16.11.2002,"-121,3092308"
Могилёв,12.11.2002,"-121,8284615"
Могилёв,13.11.2002,"-122,3476923"
Могилёв,14.11.2002,"-122,8669231"
Могилёв,15.11.2002,"-123,3861538"
Могилёв,16.11.2002,"-123,9053846"
Иркутск,12.11.2002,"-124,4246154"
Иркутск,13.11.2002,"-124,9438462"
Иркутск,14.11.2002,"-125,4630769"
Иркутск,15.11.2002,"-125,9823077"
Иркутск,16.11.2002,"-126,5015385"
Москва,12.11.2002,"-127,0207692"
Москва,13.11.2002,"-127,54"
Москва,14.11.2002,"-128,0592308"
Москва,15.11.2002,"-128,5784615"
Москва,16.11.2002,"-129,0976923"
Екатеринбург,12.11.2002,"-129,6169231"
Екатеринбург,13.11.2002,"-130,1361538"
Екатеринбург,14.11.2002,"-130,6553846"
Екатеринбург,15.11.2002,"-131,1746154"
Екатеринбург,16.11.2002,"-131,6938462"
Новосибирск,12.11.2002,"-132,2130769"
Новосибирск,13.11.2002,"-132,7323077"
Новосибирск,14.11.2002,"-133,2515385"
Новосибирск,15.11.2002,"-133,7707692"
Новосибирск,16.11.2002,"-134,29"
Могилёв,12.11.2002,"-134,8092308"
Могилёв,13.11.2002,"-135,3284615"
Могилёв,14.11.2002,"-135,8476923"
Могилёв,15.11.2002,"-136,3669231"
Москва,12.11.2002,"-136,8861538"
Москва,13.11.2002,"-137,4053846"
Москва,14.11.2002,"-137,9246154"
Москва,15.11.2002,"-138,4438462"
Москва,16.11.2002,"-138,9630769"
Екатеринбург,12.11.2002,"-139,4823077"
Екатеринбург,13.11.2002,"-140,0015385"
Екатеринбург,14.11.2002,"-140,5207692"
Екатеринбург,15.11.2002,"-141,04"
Екатеринбург,16.11.2002,"-141,5592308"
Новосибирск,12.11.2002,"-142,0784615"
Новосибирск,13.11.2002,"-142,5976923"
Новосибирск,14.11.2002,"-143,1169231"
Новосибирск,15.11.2002,"-143,6361538"
Новосибирск,16.11.2002,"-144,1553846"
Могилёв,12.11.2002,"-144,6746154"
Могилёв,13.11.2002,"-145,1938462"
Могилёв,14.11.2002,"-145,7130769"
Могилёв,15.11.2002,"-146,2323077"
Могилёв,16.11.2002,"-146,7515385"
Иркутск,12.11.2002,"-147,2707692"
Иркутск,13.11.2002,"-147,79"
Иркутск,14.11.2002,"-148,3092308"
Иркутск,15.11.2002,"-148,8284615"
Иркутск,16.11.2002,"-149,3476923"
Москва,12.11.2002,"-149,8669231"
Москва,13.11.2002,"-150,3861538"
Москва,14.11.2002,"-150,9053846"
Москва,15.11.2002,"-151,4246154"
Москва,16.11.2002,"-151,9438462"
Екатеринбург,12.11.2002,"-152,4630769"
Екатеринбург,13.11.2002,"-152,9823077"
Екатеринбург,14.11.2002,"-153,5015385"
Екатеринбург,15.11.2002,"-154,0207692"
Екатеринбург,16.11.2002,"-154,54"
Новосибирск,12.11.2002,"-155,0592308"
Новосибирск,13.11.2002,"-155,5784615"
Новосибирск,14.11.2002,"-156,0976923"
Новосибирск,15.11.2002,"-156,6169231"
Новосибирск,16.11.2002,"-157,1361538"
Могилёв,12.11.2002,"-157,6553846"
Могилёв,13.11.2002,"-158,1746154"
Могилёв,14.11.2002,"-158,6938462"
Могилёв,15.11.2002,"-159,2130769"
Москва,12.11.2002,"-159,7323077"
Москва,13.11.2002,"-160,2515385"
Москва,14.11.2002,"-160,7707692"
Москва,15.11.2002,"-161,29"
Москва,16.11.2002,"-161,8092308"
Екатеринбург,12.11.2002,"-162,3284615"
Екатеринбург,13.11.2002,"-162,8476923"
Екатеринбург,14.11.2002,"-163,3669231"
Екатеринбург,15.11.2002,"-163,8861538"
Екатеринбург,16.11.2002,"-164,4053846"
Новосибирск,12.11.2002,"-164,9246154"
Новосибирск,13.11.2002,"-165,4438462"
Новосибирск,14.11.2002,"-165,9630769"
Новосибирск,15.11.2002,"-166,4823077"
Новосибирск,16.11.2002,"-167,0015385"
Могилёв,12.11.2002,"-167,5207692"
Могилёв,13.11.2002,"-168,04"
Могилёв,14.11.2002,"-168,5592308"
Могилёв,15.11.2002,"-169,0784615"
Могилёв,16.11.2002,"-169,5976923"
Иркутск,12.11.2002,"-170,1169231"
Иркутск,13.11.2002,"-170,6361538"
Иркутск,14.11.2002,"-171,1553846"
Иркутск,15.11.2002,"-171,6746154"
Иркутск,16.11.2002,"-172,1938462"
Москва,12.11.2002,"-172,7130769"
Москва,13.11.2002,"-173,2323077"
Москва,14.11.2002,"-173,7515385"
Москва,15.11.2002,"-174,2707692"
Москва,16.11.2002,"-174,79"
Екатеринбург,12.11.2002,"-175,3092308"
Екатеринбург,13.11.2002,"-175,8284615"
Екатеринбург,14.11.2002,"-176,3476923"
Екатеринбург,15.11.2002,"-176,8669231"
Екатеринбург,16.11.2002,"-177,3861538"
Новосибирск,12.11.2002,"-177,9053846"
Новосибирск,13.11.2002,"-178,4246154"
Новосибирск,14.11.2002,"-178,9438462"
Новосибирск,15.11.2002,"-179,4630769"
Новосибирск,16.11.2002,"-179,9823077"
Могилёв,12.11.2002,"-180,5015385"
Могилёв,13.11.2002,"-181,0207692"
Могилёв,14.11.2002,"-181,54"
Могилёв,15.11.2002,"-182,0592308"
Москва,12.11.2002,"-182,5784615"
Москва,13.11.2002,"-183,0976923"
Москва,14.11.2002,"-183,6169231"
Москва,15.11.2002,"-184,1361538"
Москва,16.11.2002,"-184,6553846"
Екатеринбург,12.11.2002,"-185,1746154"
Екатеринбург,13.11.2002,"-185,6938462"
Екатеринбург,14.11.2002,"-186,2130769"
Екатеринбург,15.11.2002,"-186,7323077"
Екатеринбург,16.11.2002,"-187,2515385"
Новосибирск,12.11.2002,"-187,7707692"
Новосибирск,13.11.2002,"-188,29"
Новосибирск,14.11.2002,"-188,8092308"
Новосибирск,15.11.2002,"-189,3284615"
Новосибирск,16.11.2002,"-189,8476923"
Могилёв,12.11.2002,"-190,3669231"
Могилёв,13.11.2002,"-190,8861538"
Могилёв,14.11.2002,"-191,4053846"
Могилёв,15.11.2002,"-191,9246154"
Могилёв,16.11.2002,"-192,4438462"
Иркутск,12.11.2002,"-192,9630769"
Иркутск,13.11.2002,"-193,4823077"
Иркутск,14.11.2002,"-194,0015385"
Иркутск,15.11.2002,"-194,5207692"
Иркутск,16.11.2002,"-195,04"
Москва,12.11.2002,"-195,5592308"
Москва,13.11.2002,"-196,0784615"
Москва,14.11.2002,"-196,5976923"
Москва,15.11.2002,"-197,1169231"
Москва,16.11.2002,"-197,6361538"
Екатеринбург,12.11.2002,"-198,1553846"
Екатеринбург,13.11.2002,"-198,6746154"
Екатеринбург,14.11.2002,"-199,1938462"
Екатеринбург,15.11.2002,"-199,7130769"
Екатеринбург,16.11.2002,"-200,2323077"
Новосибирск,12.11.2002,"-200,7515385"
Новосибирск,13.11.2002,"-201,2707692"
Новосибирск,14.11.2002,"-201,79"
Новосибирск,15.11.2002,"-202,3092308"
Новосибирск,16.11.2002,"-202,8284615"
Могилёв,12.11.2002,"-203,3476923"
Могилёв,13.11.2002,"-203,8669231"
Могилёв,14.11.2002,"-204,3861538"
Могилёв,15.11.2002,"-204,9053846"
Москва,12.11.2002,"-205,4246154"
Москва,13.11.2002,"-205,9438462"
Москва,14.11.2002,"-206,4630769"
Москва,15.11.2002,"-206,9823077"
Москва,16.11.2002,"-207,5015385"
Екатеринбург,12.11.2002,"-208,0207692"
Екатеринбург,13.11.2002,"-208,54"
Екатеринбург,14.11.2002,"-209,0592308"
Екатеринбург,15.11.2002,"-209,5784615"
Екатеринбург,16.11.2002,"-210,0976923"
Новосибирск,12.11.2002,"-210,6169231"
Новосибирск,13.11.2002,"-211,1361538"
Новосибирск,14.11.2002,"-211,6553846"
Новосибирск,15.11.2002,"-212,1746154"
Новосибирск,16.11.2002,"-212,6938462"
Могилёв,12.11.2002,"-213,2130769"
Могилёв,13.11.2002,"-213,7323077"
Могилёв,14.11.2002,"-214,2515385"
Могилёв,15.11.2002,"-214,7707692"
Могилёв,16.11.2002,"-215,29"
Иркутск,12.11.2002,"-215,8092308"
Иркутск,13.11.2002,"-216,3284615"
Иркутск,14.11.2002,"-216,8476923"
Иркутск,15.11.2002,"-217,3669231"
Иркутск,16.11.2002,"-217,8861538"
Москва,12.11.2002,"-218,4053846"
Москва,13.11.2002,"-218,9246154"
Москва,14.11.2002,"-219,4438462"
Москва,15.11.2002,"-219,9630769"
Москва,16.11.2002,"-220,4823077"
Екатеринбург,12.11.2002,"-221,0015385"
Екатеринбург,13.11.2002,"-221,5207692"
Екатеринбург,14.11.2002,"-222,04"
Екатеринбург,15.11.2002,"-222,5592308"
Екатеринбург,16.11.2002,"-223,0784615"
Новосибирск,12.11.2002,"-223,5976923"
Новосибирск,13.11.2002,"-224,1169231"
Новосибирск,14.11.2002,"-224,6361538"
Новосибирск,15.11.2002,"-225,1553846"
Новосибирск,16.11.2002,"-225,6746154"
Могилёв,12.11.2002,"-226,1938462"
Могилёв,13.11.2002,"-226,7130769"
Могилёв,14.11.2002,"-227,2323077"
Могилёв,15.11.2002,"-227,7515385"
Москва,12.11.2002,"-228,2707692"
Москва,13.11.2002,"-228,79"
Москва,14.11.2002,"-229,3092308"
Москва,15.11.2002,"-229,8284615"
Москва,16.11.2002,"-230,3476923"
Екатеринбург,12.11.2002,"-230,8669231"
Екатеринбург,13.11.2002,"-231,3861538"
Екатеринбург,14.11.2002,"-231,9053846"
Екатеринбург,15.11.2002,"-232,4246154"
Екатеринбург,16.11.2002,"-232,9438462"
Новосибирск,12.11.2002,"-233,4630769"
Новосибирск,13.11.2002,"-233,9823077"
Новосибирск,14.11.2002,"-234,5015385"
Новосибирск,15.11.2002,"-235,0207692"
Новосибирск,16.11.2002,"-235,54"
Могилёв,12.11.2002,"-236,0592308"
Могилёв,13.11.2002,"-236,5784615"
Могилёв,14.11.2002,"-237,0976923"
Могилёв,15.11.2002,"-237,6169231"
Могилёв,16.11.2002,"-238,1361538"
Иркутск,12.11.2002,"-238,6553846"
Иркутск,13.11.2002,"-239,1746154"
Иркутск,14.11.2002,"-239,6938462"
Иркутск,15.11.2002,"-240,2130769"
Иркутск,16.11.2002,"-240,7323077"
Москва,12.11.2002,"-241,2515385"
Москва,13.11.2002,"-241,7707692"
Москва,14.11.2002,"-242,29"
Москва,15.11.2002,"-242,8092308"
Москва,16.11.2002,"-243,3284615"
Екатеринбург,12.11.2002,"-243,8476923"
Екатеринбург,13.11.2002,"-244,3669231"
Екатеринбург,14.11.2002,"-244,8861538"
Екатеринбург,15.11.2002,"-245,4053846"
Екатеринбург,16.11.2002,"-245,9246154"
Новосибирск,12.11.2002,"-246,4438462"
Новосибирск,13.11.2002,"-246,9630769"
Новосибирск,14.11.2002,"-247,4823077"
Новосибирск,15.11.2002,"-248,0015385"
Новосибирск,16.11.2002,"-248,5207692"
Могилёв,12.11.2002,"-249,04"
Могилёв,13.11.2002,"-249,5592308"
Могилёв,14.11.2002,"-250,0784615"
Могилёв,15.11.2002,"-250,5976923"
Москва,12.11.2002,"-251,1169231"
Москва,13.11.2002,"-251,6361538"
Москва,14.11.2002,"-252,1553846"
Москва,15.11.2002,"-252,6746154"
Москва,16.11.2002,"-253,1938462"
Екатеринбург,12.11.2002,"-253,7130769"
Екатеринбург,13.11.2002,"-254,2323077"
Екатеринбург,14.11.2002,"-254,7515385"
Екатеринбург,15.11.2002,"-255,2707692"
Екатеринбург,16.11.2002,"-255,79"
Новосибирск,12.11.2002,"-256,3092308"
Новосибирск,13.11.2002,"-256,8284615"
Новосибирск,14.11.2002,"-257,3476923"
Новосибирск,15.11.2002,"-257,8669231"
Новосибирск,16.11.2002,"-258,3861538"
Могилёв,12.11.2002,"-258,9053846"
Могилёв,13.11.2002,"-259,4246154"
Могилёв,14.11.2002,"-259,9438462"
Могилёв,15.11.2002,"-260,4630769"
