Город,Дата,Погода
Могилёв,16.11.2002,"-260,9823077"
Иркутск,12.11.2002,"-261,5015385"
Иркутск,13.11.2002,"-262,0207692"
Иркутск,14.11.2002,"-262,54"
Иркутск,15.11.2002,"-263,0592308"
Иркутск,16.11.2002,"-263,5784615"
Москва,12.11.2002,"-264,0976923"
Москва,13.11.2002,"-264,6169231"
Москва,14.11.2002,"-265,1361538"
Москва,15.11.2002,"-265,6553846"
Москва,16.11.2002,"-266,1746154"
Екатеринбург,12.11.2002,"-266,6938462"
Екатеринбург,13.11.2002,"-267,2130769"
Екатеринбург,14.11.2002,"-267,7323077"
Екатеринбург,15.11.2002,"-268,2515385"
Екатеринбург,16.11.2002,"-268,7707692"
Новосибирск,12.11.2002,"-269,29"
Новосибирск,13.11.2002,"-269,8092308"
Новосибирск,14.11.2002,"-270,3284615"
Новосибирск,15.11.2002,"-270,8476923"
Новосибирск,16.11.2002,"-271,3669231"
Могилёв,12.11.2002,"-271,8861538"
Могилёв,13.11.2002,"-272,4053846"
Могилёв,14.11.2002,"-272,9246154"
Могилёв,15.11.2002,"-273,4438462"
Москва,12.11.2002,"-273,9630769"
Москва,13.11.2002,"-274,4823077"
Москва,14.11.2002,"-275,0015385"
Москва,15.11.2002,"-275,5207692"
Москва,16.11.2002,"-276,04"
Екатеринбург,12.11.2002,"-276,5592308"
Екатеринбург,13.11.2002,"-277,0784615"
Екатеринбург,14.11.2002,"-277,5976923"
Екатеринбург,15.11.2002,"-278,1169231"
Екатеринбург,16.11.2002,"-278,6361538"
Новосибирск,12.11.2002,"-279,1553846"
Новосибирск,13.11.2002,"-279,6746154"
Новосибирск,14.11.2002,"-280,1938462"
Новосибирск,15.11.2002,"-280,7130769"
Новосибирск,16.11.2002,"-281,2323077"
Могилёв,12.11.2002,"-281,7515385"
Могилёв,13.11.2002,"-282,2707692"
Могилёв,14.11.2002,"-282,79"
Могилёв,15.11.2002,"-283,3092308"
Могилёв,16.11.2002,"-283,8284615"
Иркутск,12.11.2002,"-284,3476923"
Иркутск,13.11.2002,"-284,8669231"
Иркутск,14.11.2002,"-285,3861538"
Иркутск,15.11.2002,"-285,9053846"
Иркутск,16.11.2002,"-286,4246154"
Москва,12.11.2002,"-286,9438462"
Москва,13.11.2002,"-287,4630769"
Москва,14.11.2002,"-287,9823077"
Москва,15.11.2002,"-288,5015385"
Москва,16.11.2002,"-289,0207692"
Екатеринбург,12.11.2002,"-289,54"
Екатеринбург,13.11.2002,"-290,0592308"
Екатеринбург,14.11.2002,"-290,5784615"
Екатеринбург,15.11.2002,"-291,0976923"
Екатеринбург,16.11.2002,"-291,6169231"
Новосибирск,12.11.2002,"-292,1361538"
Новосибирск,13.11.2002,"-292,6553846"
Новосибирск,14.11.2002,"-293,1746154"
Новосибирск,15.11.2002,"-293,6938462"
Новосибирск,16.11.2002,"-294,2130769"
Могилёв,12.11.2002,"-294,7323077"
Могилёв,13.11.2002,"-295,2515385"
Могилёв,14.11.2002,"-295,7707692"
Могилёв,15.11.2002,"-296,29"
Москва,12.11.2002,"-296,8092308"
Москва,13.11.2002,"-297,3284615"
Москва,14.11.2002,"-297,8476923"
Москва,15.11.2002,"-298,3669231"
Москва,16.11.2002,"-298,8861538"
Екатеринбург,12.11.2002,"-299,4053846"
Екатеринбург,13.11.2002,"-299,9246154"
Екатеринбург,14.11.2002,"-300,4438462"
Екатеринбург,15.11.2002,"-300,9630769"
Екатеринбург,16.11.2002,"-301,4823077"
Новосибирск,12.11.2002,"-302,0015385"
Новосибирск,13.11.2002,"-302,5207692"
Новосибирск,14.11.2002,"-303,04"
Новосибирск,15.11.2002,"-303,5592308"
Новосибирск,16.11.2002,"-304,0784615"
Могилёв,12.11.2002,"-304,5976923"
Могилёв,13.11.2002,"-305,1169231"
Могилёв,14.11.2002,"-305,6361538"
Могилёв,15.11.2002,"-306,1553846"
Могилёв,16.11.2002,"-306,6746154"
Иркутск,12.11.2002,"-307,1938462"
Иркутск,13.11.2002,"-307,7130769"
Иркутск,14.11.2002,"-308,2323077"
Иркутск,15.11.2002,"-308,7515385"
Иркутск,16.11.2002,"-309,2707692"
Москва,12.11.2002,"-309,79"
Москва,13.11.2002,"-310,3092308"
Москва,14.11.2002,"-310,8284615"
Москва,15.11.2002,"-311,3476923"
Москва,16.11.2002,"-311,8669231"
Екатеринбург,12.11.2002,"-312,3861538"
Екатеринбург,13.11.2002,"-312,9053846"
Екатеринбург,14.11.2002,"-313,4246154"
Екатеринбург,15.11.2002,"-313,9438462"
Екатеринбург,16.11.2002,"-314,4630769"
Новосибирск,12.11.2002,"-314,9823077"
Новосибирск,13.11.2002,"-315,5015385"
Новосибирск,14.11.2002,"-316,0207692"
Новосибирск,15.11.2002,"-316,54"
Новосибирск,16.11.2002,"-317,0592308"
Могилёв,12.11.2002,"-317,5784615"
Могилёв,13.11.2002,"-318,0976923"
Могилёв,14.11.2002,"-318,6169231"
Могилёв,15.11.2002,"-319,1361538"
Москва,12.11.2002,"-319,6553846"
Москва,13.11.2002,"-320,1746154"
Москва,14.11.2002,"-320,6938462"
Москва,15.11.2002,"-321,2130769"
Москва,16.11.2002,"-321,7323077"
Екатеринбург,12.11.2002,"-322,2515385"
Екатеринбург,13.11.2002,"-322,7707692"
Екатеринбург,14.11.2002,"-323,29"
Екатеринбург,15.11.2002,"-323,8092308"
Екатеринбург,16.11.2002,"-324,3284615"
Новосибирск,12.11.2002,"-324,8476923"
Новосибирск,13.11.2002,"-325,3669231"
Новосибирск,14.11.2002,"-325,8861538"
Новосибирск,15.11.2002,"-326,4053846"
Новосибирск,16.11.2002,"-326,9246154"
Могилёв,12.11.2002,"-327,4438462"
Могилёв,13.11.2002,"-327,9630769"
Могилёв,14.11.2002,"-328,4823077"
Могилёв,15.11.2002,"-329,0015385"
Могилёв,16.11.2002,"-329,5207692"
Иркутск,12.11.2002,"-330,04"
Иркутск,13.11.2002,"-330,5592308"
Иркутск,14.11.2002,"-331,0784615"
Иркутск,15.11.2002,"-331,5976923"
Иркутск,16.11.2002,"-332,1169231"
Москва,12.11.2002,"-332,6361538"
Москва,13.11.2002,"-333,1553846"
Москва,14.11.2002,"-333,6746154"
Москва,15.11.2002,"-334,1938462"
Москва,16.11.2002,"-334,7130769"
Екатеринбург,12.11.2002,"-335,2323077"
Екатеринбург,13.11.2002,"-335,7515385"
Екатеринбург,14.11.2002,"-336,2707692"
Екатеринбург,15.11.2002,"-336,79"
Екатеринбург,16.11.2002,"-337,3092308"
Новосибирск,12.11.2002,"-337,8284615"
Новосибирск,13.11.2002,"-338,3476923"
Новосибирск,14.11.2002,"-338,8669231"
Новосибирск,15.11.2002,"-339,3861538"
Новосибирск,16.11.2002,"-339,9053846"
Могилёв,12.11.2002,"-340,4246154"
Могилёв,13.11.2002,"-340,9438462"
Могилёв,14.11.2002,"-341,4630769"
Могилёв,15.11.2002,"-341,9823077"
Москва,12.11.2002,"-342,5015385"
Москва,13.11.2002,"-343,0207692"
Москва,14.11.2002,"-343,54"
Москва,15.11.2002,"-344,0592308"
Москва,16.11.2002,"-344,5784615"
Екатеринбург,12.11.2002,"-345,0976923"
Екатеринбург,13.11.2002,"-345,6169231"
Екатеринбург,14.11.2002,"-346,1361538"
Екатеринбург,15.11.2002,"-346,6553846"
Екатеринбург,16.11.2002,"-347,1746154"
Новосибирск,12.11.2002,"-347,6938462"
Новосибирск,13.11.2002,"-348,2130769"
Новосибирск,14.11.2002,"-348,7323077"
Новосибирск,15.11.2002,"-349,2515385"
Новосибирск,16.11.2002,"-349,7707692"
Могилёв,12.11.2002,"-350,29"
Могилёв,13.11.2002,"-350,8092308"
Могилёв,14.11.2002,"-351,3284615"
Могилёв,15.11.2002,"-351,8476923"
Могилёв,16.11.2002,"-352,3669231"
Иркутск,12.11.2002,"-352,8861538"
Иркутск,13.11.2002,"-353,4053846"
Иркутск,14.11.2002,"-353,9246154"
Иркутск,15.11.2002,"-354,4438462"
Иркутск,16.11.2002,"-354,9630769"
Москва,12.11.2002,"-355,4823077"
Москва,13.11.2002,"-356,0015385"
Москва,14.11.2002,"-356,5207692"
Москва,15.11.2002,"-357,04"
Москва,16.11.2002,"-357,5592308"
Екатеринбург,12.11.2002,"-358,0784615"
Екатеринбург,13.11.2002,"-358,5976923"
Екатеринбург,14.11.2002,"-359,1169231"
Екатеринбург,15.11.2002,"-359,6361538"
Екатеринбург,16.11.2002,"-360,1553846"
Новосибирск,12.11.2002,"-360,6746154"
Новосибирск,13.11.2002,"-361,1938462"
Новосибирск,14.11.2002,"-361,7130769"
Новосибирск,15.11.2002,"-362,2323077"
Новосибирск,16.11.2002,"-362,7515385"
Могилёв,12.11.2002,"-363,2707692"
Могилёв,13.11.2002,"-363,79"
Могилёв,14.11.2002,"-364,3092308"
Могилёв,15.11.2002,"-364,8284615"
Москва,12.11.2002,"-365,3476923"
Москва,13.11.2002,"-365,8669231"
Москва,14.11.2002,"-366,3861538"
Москва,15.11.2002,"-366,9053846"
Москва,16.11.2002,"-367,4246154"
Екатеринбург,12.11.2002,"-367,9438462"
Екатеринбург,13.11.2002,"-368,4630769"
Екатеринбург,14.11.2002,"-368,9823077"
Екатеринбург,15.11.2002,"-369,5015385"
Екатеринбург,16.11.2002,"-370,0207692"
Новосибирск,12.11.2002,"-370,54"
Новосибирск,13.11.2002,"-371,0592308"
Новосибирск,14.11.2002,"-371,5784615"
Новосибирск,15.11.2002,"-372,0976923"
Новосибирск,16.11.2002,"-372,6169231"
Могилёв,12.11.2002,"-373,1361538"
Могилёв,13.11.2002,"-373,6553846"
Могилёв,14.11.2002,"-374,1746154"
Могилёв,15.11.2002,"-374,6938462"
Могилёв,16.11.2002,"-375,2130769"
Иркутск,12.11.2002,"-375,7323077"
Иркутск,13.11.2002,"-376,2515385"
Иркутск,14.11.2002,"-376,7707692"
Иркутск,15.11.2002,"-377,29"
Иркутск,16.11.2002,"-377,8092308"
Москва,12.11.2002,"-378,3284615"
Москва,13.11.2002,"-378,8476923"
Москва,14.11.2002,"-379,3669231"
Москва,15.11.2002,"-379,8861538"
Москва,16.11.2002,"-380,4053846"
Екатеринбург,12.11.2002,"-380,9246154"
Екатеринбург,13.11.2002,"-381,4438462"
Екатеринбург,14.11.2002,"-381,9630769"
Екатеринбург,15.11.2002,"-382,4823077"
Екатеринбург,16.11.2002,"-383,0015385"
Новосибирск,12.11.2002,"-383,5207692"
Новосибирск,13.11.2002,"-384,04"
Новосибирск,14.11.2002,"-384,5592308"
Новосибирск,15.11.2002,"-385,0784615"
Новосибирск,16.11.2002,"-385,5976923"
Могилёв,12.11.2002,"-386,1169231"
Могилёв,13.11.2002,"-386,6361538"
Могилёв,14.11.2002,"-387,1553846"
Могилёв,15.11.2002,"-387,6746154"
Москва,12.11.2002,"-388,1938462"
Москва,13.11.2002,"-388,7130769"
Москва,14.11.2002,"-389,2323077"
Москва,15.11.2002,"-389,7515385"
Москва,16.11.2002,"-390,2707692"
Екатеринбург,12.11.2002,"-390,79"
Екатеринбург,13.11.2002,"-391,3092308"
Екатеринбург,14.11.2002,"-391,8284615"
Екатеринбург,15.11.2002,"-392,3476923"
Екатеринбург,16.11.2002,"-392,8669231"
Новосибирск,12.11.2002,"-393,3861538"
Новосибирск,13.11.2002,"-393,9053846"
Новосибирск,14.11.2002,"-394,4246154"
Новосибирск,15.11.2002,"-394,9438462"
Новосибирск,16.11.2002,"-395,4630769"
Могилёв,12.11.2002,"-395,9823077"
Могилёв,13.11.2002,"-396,5015385"
Могилёв,14.11.2002,"-397,0207692"
Могилёв,15.11.2002,"-397,54"
Могилёв,16.11.2002,"-398,0592308"
Иркутск,12.11.2002,"-398,5784615"
Иркутск,13.11.2002,"-399,0976923"
Иркутск,14.11.2002,"-399,6169231"
Иркутск,15.11.2002,"-400,1361538"
Иркутск,16.11.2002,"-400,6553846"
Москва,12.11.2002,"-401,1746154"
Москва,13.11.2002,"-401,6938462"
Москва,14.11.2002,"-402,2130769"
Москва,15.11.2002,"-402,7323077"
Москва,16.11.2002,"-403,2515385"
Екатеринбург,12.11.2002,"-403,7707692"
Екатеринбург,13.11.2002,"-404,29"
Екатеринбург,14.11.2002,"-404,8092308"
Екатеринбург,15.11.2002,"-405,3284615"
Екатеринбург,16.11.2002,"-405,8476923"
Новосибирск,12.11.2002,"-406,3669231"
Новосибирск,13.11.2002,"-406,8861538"
Новосибирск,14.11.2002,"-407,4053846"
Новосибирск,15.11.2002,"-407,9246154"
Новосибирск,16.11.2002,"-408,4438462"
Могилёв,12.11.2002,"-408,9630769"
Могилёв,13.11.2002,"-409,4823077"
Могилёв,14.11.2002,"-410,0015385"
Могилёв,15.11.2002,"-410,5207692"
Москва,12.11.2002,"-411,04"
Москва,13.11.2002,"-411,5592308"
Москва,14.11.2002,"-412,0784615"
Москва,15.11.2002,"-412,5976923"
Москва,16.11.2002,"-413,1169231"
Екатеринбург,12.11.2002,"-413,6361538"
Екатеринбург,13.11.2002,"-414,1553846"
Екатеринбург,14.11.2002,"-414,6746154"
Екатеринбург,15.11.2002,"-415,1938462"
Екатеринбург,16.11.2002,"-415,7130769"
Новосибирск,12.11.2002,"-416,2323077"
Новосибирск,13.11.2002,"-416,7515385"
Новосибирск,14.11.2002,"-417,2707692"
Новосибирск,15.11.2002,"-417,79"
Новосибирск,16.11.2002,"-418,3092308"
Могилёв,12.11.2002,"-418,8284615"
Могилёв,13.11.2002,"-419,3476923"
Могилёв,14.11.2002,"-419,8669231"
Могилёв,15.11.2002,"-420,3861538"
Могилёв,16.11.2002,"-420,9053846"
Иркутск,12.11.2002,"-421,4246154"
Иркутск,13.11.2002,"-421,9438462"
Иркутск,14.11.2002,"-422,4630769"
Иркутск,15.11.2002,"-422,9823077"
Иркутск,16.11.2002,"-423,5015385"
Москва,12.11.2002,"-424,0207692"
Москва,13.11.2002,"-424,54"
Москва,14.11.2002,"-425,0592308"
Москва,15.11.2002,"-425,5784615"
Москва,16.11.2002,"-426,0976923"
Екатеринбург,12.11.2002,"-426,6169231"
Екатеринбург,13.11.2002,"-427,1361538"
Екатеринбург,14.11.2002,"-427,6553846"
Екатеринбург,15.11.2002,"-428,1746154"
Екатеринбург,16.11.2002,"-428,6938462"
Новосибирск,12.11.2002,"-429,2130769"
Новосибирск,13.11.2002,"-429,7323077"
Новосибирск,14.11.2002,"-430,2515385"
Новосибирск,15.11.2002,"-430,7707692"
Новосибирск,16.11.2002,"-431,29"
Могилёв,12.11.2002,"-431,8092308"
Могилёв,13.11.2002,"-432,3284615"
Могилёв,14.11.2002,"-432,8476923"
Могилёв,15.11.2002,"-433,3669231"
Москва,12.11.2002,"-433,8861538"
Москва,13.11.2002,"-434,4053846"
Москва,14.11.2002,"-434,9246154"
Москва,15.11.2002,"-435,4438462"
Москва,16.11.2002,"-435,9630769"
Екатеринбург,12.11.2002,"-436,4823077"
Екатеринбург,13.11.2002,"-437,0015385"
Екатеринбург,14.11.2002,"-437,5207692"
Екатеринбург,15.11.2002,"-438,04"
Екатеринбург,16.11.2002,"-438,5592308"
Новосибирск,12.11.2002,"-439,0784615"
Новосибирск,13.11.2002,"-439,5976923"
Новосибирск,14.11.2002,"-440,1169231"
Новосибирск,15.11.2002,"-440,6361538"
Новосибирск,16.11.2002,"-441,1553846"
Могилёв,12.11.2002,"-441,6746154"
Могилёв,13.11.2002,"-442,1938462"
Могилёв,14.11.2002,"-442,7130769"
Могилёв,15.11.2002,"-443,2323077"
Могилёв,16.11.2002,"-443,7515385"
Иркутск,12.11.2002,"-444,2707692"
Иркутск,13.11.2002,"-444,79"
Иркутск,14.11.2002,"-445,3092308"
Иркутск,15.11.2002,"-445,8284615"
Иркутск,16.11.2002,"-446,3476923"
Москва,12.11.2002,"-446,8669231"
Москва,13.11.2002,"-447,3861538"
Москва,14.11.2002,"-447,9053846"
Москва,15.11.2002,"-448,4246154"
Москва,16.11.2002,"-448,9438462"
Екатеринбург,12.11.2002,"-449,4630769"
Екатеринбург,13.11.2002,"-449,9823077"
Екатеринбург,14.11.2002,"-450,5015385"
Екатеринбург,15.11.2002,"-451,0207692"
Екатеринбург,16.11.2002,"-451,54"
Новосибирск,12.11.2002,"-452,0592308"
Новосибирск,13.11.2002,"-452,5784615"
Новосибирск,14.11.2002,"-453,0976923"
Новосибирск,15.11.2002,"-453,6169231"
Новосибирск,16.11.2002,"-454,1361538"
Могилёв,12.11.2002,"-454,6553846"
Могилёв,13.11.2002,"-455,1746154"
Могилёв,14.11.2002,"-455,6938462"
Могилёв,15.11.2002,"-456,2130769"
Москва,12.11.2002,"-456,7323077"
Москва,13.11.2002,"-457,2515385"
Москва,14.11.2002,"-457,7707692"
Москва,15.11.2002,"-458,29"
Москва,16.11.2002,"-458,8092308"
Екатеринбург,12.11.2002,"-459,3284615"
Екатеринбург,13.11.2002,"-459,8476923"
Екатеринбург,14.11.2002,"-460,3669231"
Екатеринбург,15.11.2002,"-460,8861538"
Екатеринбург,16.11.2002,"-461,4053846"
Новосибирск,12.11.2002,"-461,9246154"
Новосибирск,13.11.2002,"-462,4438462"
Новосибирск,14.11.2002,"-462,9630769"
Новосибирск,15.11.2002,"-463,4823077"
Новосибирск,16.11.2002,"-464,0015385"
Могилёв,12.11.2002,"-464,5207692"
Могилёв,13.11.2002,"-465,04"
Могилёв,14.11.2002,"-465,5592308"
Могилёв,15.11.2002,"-466,0784615"
Могилёв,16.11.2002,"-466,5976923"
Иркутск,12.11.2002,"-467,1169231"
Иркутск,13.11.2002,"-467,6361538"
Иркутск,14.11.2002,"-468,1553846"
Иркутск,15.11.2002,"-468,6746154"
Иркутск,16.11.2002,"-469,1938462"
Москва,12.11.2002,"-469,7130769"
Москва,13.11.2002,"-470,2323077"
Москва,14.11.2002,"-470,7515385"
Москва,15.11.2002,"-471,2707692"
Москва,16.11.2002,"-471,79"
Екатеринбург,12.11.2002,"-472,3092308"
Екатеринбург,13.11.2002,"-472,8284615"
Екатеринбург,14.11.2002,"-473,3476923"
Екатеринбург,15.11.2002,"-473,8669231"
Екатеринбург,16.11.2002,"-474,3861538"
Новосибирск,12.11.2002,"-474,9053846"
Новосибирск,13.11.2002,"-475,4246154"
Новосибирск,14.11.2002,"-475,9438462"
Новосибирск,15.11.2002,"-476,4630769"
Новосибирск,16.11.2002,"-476,9823077"
Могилёв,12.11.2002,"-477,5015385"
Могилёв,13.11.2002,"-478,0207692"
Могилёв,14.11.2002,"-478,54"
Могилёв,15.11.2002,"-479,0592308"
Москва,12.11.2002,"-479,5784615"
Москва,13.11.2002,"-480,0976923"
Москва,14.11.2002,"-480,6169231"
Москва,15.11.2002,"-481,1361538"
Москва,16.11.2002,"-481,6553846"
Екатеринбург,12.11.2002,"-482,1746154"
Екатеринбург,13.11.2002,"-482,6938462"
Екатеринбург,14.11.2002,"-483,2130769"
Екатеринбург,15.11.2002,"-483,7323077"
Екатеринбург,16.11.2002,"-484,2515385"
Новосибирск,12.11.2002,"-484,7707692"
Новосибирск,13.11.2002,"-485,29"
Новосибирск,14.11.2002,"-485,8092308"
Новосибирск,15.11.2002,"-486,3284615"
Новосибирск,16.11.2002,"-486,8476923"
Могилёв,12.11.2002,"-487,3669231"
Могилёв,13.11.2002,"-487,8861538"
Могилёв,14.11.2002,"-488,4053846"
Могилёв,15.11.2002,"-488,9246154"
Могилёв,16.11.2002,"-489,4438462"
Иркутск,12.11.2002,"-489,9630769"
Иркутск,13.11.2002,"-490,4823077"
Иркутск,14.11.2002,"-491,0015385"
Иркутск,15.11.2002,"-491,5207692"
Иркутск,16.11.2002,"-492,04"
Москва,12.11.2002,"-492,5592308"
Москва,13.11.2002,"-493,0784615"
Москва,14.11.2002,"-493,5976923"
Москва,15.11.2002,"-494,1169231"
Москва,16.11.2002,"-494,6361538"
Екатеринбург,12.11.2002,"-495,1553846"
Екатеринбург,13.11.2002,"-495,6746154"
Екатеринбург,14.11.2002,"-496,1938462"
Екатеринбург,15.11.2002,"-496,7130769"
Екатеринбург,16.11.2002,"-497,2323077"
Новосибирск,12.11.2002,"-497,7515385"
Новосибирск,13.11.2002,"-498,2707692"
Новосибирск,14.11.2002,"-498,79"
Новосибирск,15.11.2002,"-499,3092308"
Новосибирск,16.11.2002,"-499,8284615"
Могилёв,12.11.2002,"-500,3476923"
Могилёв,13.11.2002,"-500,8669231"
Могилёв,14.11.2002,"-501,3861538"
Могилёв,15.11.2002,"-501,9053846"
Москва,12.11.2002,"-502,4246154"
Москва,13.11.2002,"-502,9438462"
Москва,14.11.2002,"-503,4630769"
Москва,15.11.2002,"-503,9823077"
Москва,16.11.2002,"-504,5015385"
Екатеринбург,12.11.2002,"-505,0207692"
Екатеринбург,13.11.2002,"-505,54"
Екатеринбург,14.11.2002,"-506,0592308"
Екатеринбург,15.11.2002,"-506,5784615"
Екатеринбург,16.11.2002,"-507,0976923"
Новосибирск,12.11.2002,"-507,6169231"
Новосибирск,13.11.2002,"-508,1361538"
Новосибирск,14.11.2002,"-508,6553846"
Новосибирск,15.11.2002,"-509,1746154"
Новосибирск,16.11.2002,"-509,6938462"
Могилёв,12.11.2002,"-510,2130769"
Могилёв,13.11.2002,"-510,7323077"
Могилёв,14.11.2002,"-511,2515385"
Могилёв,15.11.2002,"-511,7707692"
Могилёв,16.11.2002,"-512,29"
Иркутск,12.11.2002,"-512,8092308"
Иркутск,13.11.2002,"-513,3284615"
Иркутск,14.11.2002,"-513,8476923"
Иркутск,15.11.2002,"-514,3669231"
Иркутск,16.11.2002,"-514,8861538"
Москва,12.11.2002,"-515,4053846"
Москва,13.11.2002,"-515,9246154"
Москва,14.11.2002,"-516,4438462"
Москва,15.11.2002,"-516,9630769"
Москва,16.11.2002,"-517,4823077"
Екатеринбург,12.11.2002,"-518,0015385"